Ticker,Date/Time,SECTOR,Sector Rank,Total Stocks,% StocksUpToday_Value,% Chg Today,21D RS%,% Above EMA21,% Above EMA50,% Above EMA200,% Near 52W High,5D Chg%,% Above RSI50,Best1,Best1 %,Best2,Best2 %,Best3,Best3 %,Worst1,Worst1 %,Worst2,Worst2 %,Worst3,Worst3 %
360ONE,19-03-2026,Financial Services,11,246,6.1,-2.51,-9.54,10.98,8.94,21.14,0.41,-2.44,9.35,USHAFIN,18.52,FINKURVE,15.51,MASKINVEST,4.67,MASTERTR,-8.02,UGROCAP,-7.34,SHRIRAMFIN,-7.03
21STCENMGM,19-03-2026,Financial Services,11,246,6.1,-2.51,-9.54,10.98,8.94,21.14,0.41,-2.44,9.35,USHAFIN,18.52,FINKURVE,15.51,MASKINVEST,4.67,MASTERTR,-8.02,UGROCAP,-7.34,SHRIRAMFIN,-7.03
AADHARHFC,19-03-2026,Financial Services,11,246,6.1,-2.51,-9.54,10.98,8.94,21.14,0.41,-2.44,9.35,USHAFIN,18.52,FINKURVE,15.51,MASKINVEST,4.67,MASTERTR,-8.02,UGROCAP,-7.34,SHRIRAMFIN,-7.03
5PAISA,19-03-2026,Financial Services,11,246,6.1,-2.51,-9.54,10.98,8.94,21.14,0.41,-2.44,9.35,USHAFIN,18.52,FINKURVE,15.51,MASKINVEST,4.67,MASTERTR,-8.02,UGROCAP,-7.34,SHRIRAMFIN,-7.03
AAKAAR,19-03-2026,Fast Moving Consumer Goods,9,187,19.79,-1.86,-8.85,16.04,16.04,20.32,0.53,-3.18,16.04,USASEEDS,4.99,MEDISTEP,4.8,NIPPOBATRY,3.15,VISHWAS,-10.97,PRUDMOULI,-8.93,SUNDARAM,-7.69
AAATECH,19-03-2026,Services,12,202,15.35,-2.02,-10.61,17.33,14.36,23.27,0.99,-2.51,17.33,SHYAMTEL,7.46,SAIFL,6.42,GML,4.83,SHANTHALA,-16.98,WHITEFORCE,-10.37,DEVX,-7.79
20MICRONS,19-03-2026,Metals & Mining,8,79,15.19,-1.55,-8.25,12.66,12.66,34.18,2.53,-2.75,13.92,SURANI,19.88,SHIVAUM,8.2,NMSTEEL,5.59,HINDZINC,-5.85,ORISSAMINE,-5.51,KIOCL,-5.41
A2ZINFRA,19-03-2026,Construction,17,141,11.35,-2.2,-12.4,11.35,8.51,15.6,0.71,-4.31,12.06,ACMESOLAR,5.36,TECHERA,4.99,GIRIRAJ,4.91,GLOBALPET,-9.66,KRIDHANINF,-6.5,MBLINFRA,-6.09
3IINFOLTD,19-03-2026,Information Technology,20,166,12.05,-2.23,-12.86,12.65,7.23,8.43,0.6,-3.03,9.04,GVPTECH,19.85,PARAMATRIX,8.4,SILVERTUC,4.74,TRIDHYA,-9.09,CALSOFT,-8.44,MGSL,-8.19
3PLAND,19-03-2026,Financial Services,11,246,6.1,-2.51,-9.54,10.98,8.94,21.14,0.41,-2.44,9.35,USHAFIN,18.52,FINKURVE,15.51,MASKINVEST,4.67,MASTERTR,-8.02,UGROCAP,-7.34,SHRIRAMFIN,-7.03
63MOONS,19-03-2026,Information Technology,20,166,12.05,-2.23,-12.86,12.65,7.23,8.43,0.6,-3.03,9.04,GVPTECH,19.85,PARAMATRIX,8.4,SILVERTUC,4.74,TRIDHYA,-9.09,CALSOFT,-8.44,MGSL,-8.19
3MINDIA,19-03-2026,Diversified,10,18,5.56,-2.75,-9.13,11.11,16.67,11.11,5.56,-4.32,16.67,3MINDIA,0.02,ASCOM,0,BINANIIND,0,SPECTSTM,-7.83,EMAPARTNER,-7.65,RAJPUTANA,-6.12
AARADHYA,19-03-2026,Forest Materials,7,27,11.11,-1.68,-8.24,14.81,14.81,11.11,0,-2.36,18.52,SHREYANIND,10.12,AARADHYA,6.19,GLOSTERLTD,0.67,NIKITA,-5.47,NRAIL,-5.01,ORIENTPPR,-4.34
AAKASH,19-03-2026,Oil Gas & Consumable Fuels,2,41,19.51,-1.72,-6.5,19.51,21.95,14.63,2.44,-4.72,21.95,ATGL,7.85,ONGC,1.55,OIL,1.4,PETRONET,-7.12,HINDPETRO,-7.03,SOUTHWEST,-7.03
